"","Sample_SQ24023853-R24009771LD01-2021415KP.sorted"
"chr2-145746184-145961020",23369.83
"chr2-145961020-146173354",22643.74
"chr2-146173354-146384107",22993.91
"chr2-146384107-146601377",23625.48
"chr2-146601377-146825928",24220.58
"chr2-146825928-147039493",22916.18
"chr2-147471178-147681896",22881.49
"chr2-147681896-147904429",23995.52
"chr2-147904429-148118514",23410.46
"chr2-148118514-148356767",25755.64
"chr2-148356767-148585355",24413.52
"chr2-148585355-148808856",23657.65
"chr2-149020548-149228812",22300.5
"chr2-149228812-149451089",23941.28
"chr2-149451089-149681572",25040.58
"chr2-149681572-149909730",24661.5
"chr2-149909730-150139887",24474.63
"chr2-150139887-150356202",22944.04
"chr2-150356202-150569386",22873.84
"chr2-150569386-150781969",22893.1
"chr2-150781969-150999860",23424.57
"chr2-150999860-151210951",22843.54
"chr2-151210951-151447503",24243.37
"chr2-151447503-151691455",26070.33
"chr2-151691455-151919515",24315.82
"chr2-151919515-152142126",23294.35
"chr2-152142126-152376715",24442.52
"chr2-152376715-152585834",21829.51
"chr2-152585834-152800011",22710.1
"chr2-152800011-153026784",23691.52
"chr2-153026784-153241937",39281.9
"chr2-153241937-153476870",25440.51
"chr2-153476870-153704143",24360.46
"chr2-153704143-153922882",23507.15
"chr2-153922882-154139917",23560.35
"chr2-154139917-154356407",23310.22
"chr2-154356407-154565621",22921.12
"chr2-154565621-154777038",23121.5
"chr2-154777038-154999272",24329.78
"chr2-155425695-155649459",24589.88
"chr2-155649459-155858590",22787.04
"chr2-155858590-156081567",24203.59
"chr2-156081567-156307324",24200.65
"chr2-156307324-156527777",23031.22
"chr2-156527777-156744500",22935.2
"chr2-156958313-157187146",24820.47
"chr2-157187146-157416912",24613.47
"chr2-157416912-157641299",24124.77
"chr2-157641299-157859737",23072.9
"chr2-157859737-158081318",23648.46
"chr2-158081318-158307585",24745.51
"chr2-158307585-158548221",25601.7
"chr2-158548221-158755389",22469.2
"chr2-158755389-158997339",25165.51
"chr2-158997339-159216149",23022.25
"chr2-159216149-159441638",23649.25
"chr2-159441638-159670788",24802.8
"chr2-159670788-159891844",23079.48
"chr2-159891844-160105941",23228.71
"chr2-160105941-160333089",24225.64
"chr2-160333089-160548754",22945.89
"chr2-160548754-160774824",24064.07
"chr2-160774824-161006667",25177.76
"chr2-161006667-161225018",23290.22
"chr2-161225018-161442976",23673.73
"chr2-161442976-161677634",24526.42
"chr2-161677634-161899565",24084.23
"chr2-161899565-162109835",22361.72
"chr2-162109835-162316282",22206.51
"chr2-162527978-162739580",23192.02
"chr2-162739580-162950729",22895.24
"chr2-162950729-163170141",23998.83
"chr2-163170141-163379875",22792.1
"chr2-163379875-163593722",22834.79
"chr2-163593722-163801124",22210.53
"chr2-163801124-164013680",22939.63
"chr2-164225951-164446422",23865.34
"chr2-164446422-164663427",23280.89
"chr2-164663427-164873433",22664.37
"chr2-164873433-165094876",23556.7
"chr2-165094876-165305694",22838.39
"chr2-165305694-165521973",23466.55
"chr2-165521973-165746036",23962.77
"chr2-165746036-165954122",22186.12
"chr2-165954122-166169756",23261.61
"chr2-166169756-166383929",23943.16
"chr2-166602205-166827780",23597.63
"chr2-166827780-167065207",25531.73
"chr2-167065207-167288399",23793.7
"chr2-167503895-167727252",24223.64
"chr2-167727252-167953418",24148.82
"chr2-167953418-168163579",22861.43
"chr2-168163579-168384668",23307.17
"chr2-168384668-168600646",23161.28
"chr2-168816329-169032648",17722.54
"chr2-169032648-169246444",23095.23
"chr2-169246444-169493341",25674.69
"chr2-169493341-169724719",24006.27
"chr2-169724719-169958978",23774.09
"chr2-169958978-170181207",23457.28
"chr2-170181207-170393160",22770.11
"chr2-170393160-170612696",23203.02
"chr2-170612696-170847574",25544.84
"chr2-170847574-171071129",23589.4
"chr2-171071129-171296369",23112.95
"chr2-171296369-171530856",24482.66
"chr2-171530856-171763289",24189.3
"chr2-171763289-171997394",24297.19
"chr2-171997394-172228409",23766.92
"chr2-172228409-172452295",23799.54
"chr2-172452295-172680968",24255.92
"chr2-172680968-172897163",23549.27
"chr2-172897163-173106075",22175.53
"chr2-173106075-173327861",23283.46
"chr2-173327861-173550452",23507.26
"chr2-173550452-173771810",23590.31
"chr2-173771810-173985916",22450.96
"chr2-173985916-174199370",22445.6
"chr2-174199370-174438143",25016.84
"chr2-174438143-174658491",22732.24
"chr2-174658491-174871594",22843.68
"chr2-174871594-175091915",23301.58
"chr2-175091915-175310734",23440.14
"chr2-175310734-175536604",23905.67
"chr2-175536604-175780024",25636.28
"chr2-175780024-176001726",23570.34
"chr2-176001726-176211798",21773.15
"chr2-176211798-176433363",22921.8
"chr2-176433363-176642174",22668
"chr2-176642174-176854075",23321.8
"chr2-176854075-177064963",22939.53
"chr2-177064963-177285501",23146.67
"chr2-177285501-177510011",23398.28
"chr2-177510011-177721793",22860.91
"chr2-177721793-177942868",23708.26
"chr2-177942868-178177910",25012.03
"chr2-178177910-178397622",23120.5
"chr2-178397622-178609235",22604.75
"chr2-178609235-178823558",23235.34
"chr2-178823558-179049335",24422.18
"chr2-179049335-179287861",25088.55
"chr2-179287861-179514191",24199.69
"chr2-179514191-179725478",23103.74
"chr2-179940734-180150635",22713.6
"chr2-180150635-180368636",23546.05
"chr2-180368636-180583974",22669.95
"chr2-180583974-180804310",23757.19
"chr2-180804310-181020317",23420.75
"chr2-181020317-181234994",23379.76
"chr2-181234994-181447070",23046.93
"chr2-181447070-181658278",23022.07
"chr2-181658278-181879891",24015.04
"chr2-181879891-182095735",23605.48
"chr2-182095735-182315873",23954.69
"chr2-182315873-182537783",23667.47
"chr2-182537783-182767546",24630.71
"chr2-182767546-182990604",23565.33
"chr2-182990604-183217250",23836.54
"chr2-183217250-183443376",24298.82
"chr2-183443376-183673490",24609.72
"chr2-183673490-183905369",24753.37
"chr2-183905369-184128815",24223.06
"chr2-184128815-184349236",24411.07
"chr2-184349236-184559083",23088.25
"chr2-184559083-184768133",23045.07
"chr2-184768133-184982318",23677.19
"chr2-184982318-185198361",23735.8
"chr2-185198361-185412444",23505.62
"chr2-185412444-185638522",24729.12
"chr2-185638522-185857817",24030.77
"chr2-185857817-186078993",24264.25
"chr2-186078993-186302760",23990.12
"chr2-186302760-186531442",24536.49
"chr2-186531442-186743283",22768.15
"chr2-186743283-186970639",23918.35
"chr2-186970639-187185218",23069.99
"chr2-187185218-187398640",23162.62
"chr2-187398640-187621857",24432.77
"chr2-187621857-187843981",23794.67
"chr2-187843981-188063121",23622.23
"chr2-188063121-188284994",23633.87
"chr2-188284994-188494519",22965.75
"chr2-188494519-188709156",23620.99
"chr2-188709156-188928915",23634.68
"chr2-188928915-189138250",22954.35
"chr2-189138250-189363098",24232.67
"chr2-189363098-189580312",23218.51
"chr2-189580312-189802742",23650.25
"chr2-189802742-190031586",24221.49
"chr2-190031586-190256106",23901.31
"chr2-190256106-190480996",23765.93
"chr2-190697893-190920332",23854.55
"chr2-190920332-191138766",23680.69
"chr2-191138766-191350659",22566.67
"chr2-191350659-191568747",23131.16
"chr2-191568747-191790050",23531.8
"chr2-191790050-191997046",22232.83
"chr2-191997046-192206646",22604.93
"chr2-192206646-192424569",23829.12
"chr2-192424569-192644604",23429.75
"chr2-192644604-192855321",23096.55
"chr2-192855321-193084026",24817.66
"chr2-193084026-193303336",24089.46
"chr2-193303336-193515629",23019.66
"chr2-193515629-193740023",24232.01
"chr2-193740023-193959010",22924.88
"chr2-193959010-194179703",23968.05
"chr2-194179703-194389183",23174.12
"chr2-194389183-194616683",24739.79
"chr2-194616683-194839675",24461.53
"chr2-194839675-195058091",23785.78
"chr2-195058091-195298930",26116.57
"chr2-195298930-195519911",23484.15
"chr2-195519911-195752464",24399.07
"chr2-195752464-195973825",23570.64
"chr2-195973825-196196021",23317.1
"chr2-196410796-196629979",23539.17
"chr2-196629979-196858895",24224.99
"chr2-196858895-197090988",25092.79
"chr2-197090988-197307870",23040.72
"chr2-197307870-197546699",23881.58
"chr2-197546699-197810434",27715.34
"chr2-197810434-198030042",23629.42
"chr2-198030042-198244669",22668.04
"chr2-198244669-198455570",22874.86
"chr2-198455570-198673734",23911
"chr2-198673734-198889076",23536.09
"chr2-198889076-199108700",23845.49
"chr2-199108700-199331305",24131.04
"chr2-199331305-199547427",22359.47
"chr2-199547427-199766367",23289.61
"chr2-199766367-199983907",22668.38
"chr2-199983907-200198549",22956.14
"chr2-200198549-200412680",23098.74
"chr2-200412680-200631348",23415.45
"chr2-200631348-200856872",23868.42
"chr2-200856872-201101643",24974.7
"chr2-201575807-201805508",24273.71
"chr2-201805508-202025035",23236.58
"chr2-202025035-202254069",23247.48
"chr2-202254069-202511473",25618.3
"chr2-202752811-202994896",24586.39
"chr2-202994896-203227413",24029.83
"chr2-203227413-203464185",23892.99
"chr2-203464185-203703262",24321.97
"chr2-203703262-203919857",23117.76
"chr2-203919857-204134932",22989.09
"chr2-204134932-204344668",22352.29
"chr2-204344668-204562531",23548.46
"chr2-204562531-204775877",23481.97
"chr2-204775877-204987116",22936.78
"chr2-204987116-205209654",23936.96
"chr2-205209654-205420703",23079.52
"chr2-205420703-205634104",23075.05
"chr2-205634104-205840444",22198.52
"chr2-205840444-206069403",23816.68
"chr2-206069403-206307607",24324.36
"chr2-206307607-206537433",24541.86
"chr2-206537433-206753893",23249.26
"chr2-206753893-206983477",24607.5
"chr2-206983477-207201899",23291.03
"chr2-207201899-207415877",23081.97
"chr2-207415877-207638644",22816.73
"chr2-207638644-207877380",24330.94
"chr2-207877380-208101978",23443.32
"chr2-208101978-208335967",24193.98
"chr2-208335967-208555773",23212.04
"chr2-208555773-208796515",25842.86
"chr2-208796515-209038454",25850.41
"chr2-209038454-209279418",25608.01
"chr2-209279418-209505144",24488.03
"chr2-209505144-209714572",22537.19
"chr2-209714572-209934877",23432.93
"chr2-209934877-210153495",23447.27
"chr2-210153495-210383788",24662.18
"chr2-210383788-210604684",23842.12
"chr2-210604684-210817262",23395.01
"chr2-210817262-211039890",24053.93
"chr2-211039890-211256993",23749.03
"chr2-211256993-211466663",22649.98
"chr2-211466663-211681260",23023.83
"chr2-211903182-212116476",23085.73
"chr2-212116476-212326726",25279.26
"chr2-212326726-212535872",23269.89
"chr2-212535872-212750014",23109.14
"chr2-212750014-212976563",24476.82
"chr2-212976563-213181917",22655.22
"chr2-213181917-213406324",24505.74
"chr2-213406324-213630249",24021.13
"chr2-213630249-213853814",23717.43
"chr2-213853814-214067297",23089.68
"chr2-214067297-214284981",24111.82
"chr2-214284981-214496419",22617.74
"chr2-214496419-214719650",23893.74
"chr2-214719650-214942528",23743.02
"chr2-214942528-215162096",23629.93
"chr2-215162096-215403370",25085.6
"chr2-215619019-215833112",22676.85
"chr2-215833112-216062466",24431.52
"chr2-216062466-216280573",23031.09
"chr2-216280573-216504580",23903.82
"chr2-216504580-216720489",22961.7
"chr2-216720489-216930940",22523.19
"chr2-216930940-217146192",22951.68
"chr2-217146192-217357561",22857.85
"chr2-217357561-217567910",22928.7
"chr2-217567910-217777475",22950.69
"chr2-217777475-217982423",22387.47
"chr2-217982423-218219293",25158.51
"chr2-218219293-218457659",24451.22
"chr2-218457659-218692907",24192.7
"chr2-218692907-218922446",24172.58
"chr2-218922446-219138706",22810.03
"chr2-219138706-219367139",23396.37
"chr2-219367139-219578671",22684.39
"chr2-219578671-219796766",23343.48
"chr2-219796766-220018646",23618.21
"chr2-220018646-220228103",22807.54
"chr2-220228103-220446384",23074.33
"chr2-220446384-220656862",22677.38
"chr2-220656862-220872056",23115.01
"chr2-220872056-221084488",22839.75
"chr2-221084488-221295840",22534.83
"chr2-221295840-221509723",22919.73
"chr2-221509723-221719707",22398.39
"chr2-221719707-221931762",22625.64
"chr2-221931762-222159948",24388.09
"chr2-222159948-222367946",22318.05
"chr2-222367946-222590673",23712.89
"chr2-222590673-222812929",23363.4
"chr2-222812929-223040475",26528.57
"chr2-223040475-223260794",23635.79
"chr2-223260794-223486595",24555.45
"chr2-223486595-223704001",23517.68
"chr2-223704001-223938228",24167.76
"chr2-223938228-224154268",23172
"chr2-224154268-224374883",23488.39
"chr2-224374883-224593600",22792.54
"chr2-224593600-224829370",24356.45
"chr2-224829370-225039835",22429.8
"chr2-225039835-225254912",22994.93
"chr2-225254912-225468746",22949.63
"chr2-225468746-225687837",23436.04
"chr2-225687837-225903714",23264.13
"chr2-225903714-226119168",23019.99
"chr2-226119168-226330938",23001.65
"chr2-226330938-226545720",23034.52
"chr2-226759534-226972942",22610.03
"chr2-226972942-227197509",23849.72
"chr2-227197509-227419661",23339.11
"chr2-227419661-227645350",23868.58
"chr2-227645350-227882060",24441.73
"chr2-227882060-228111592",24418.52
"chr2-228111592-228335701",23963.47
"chr2-228335701-228559086",23566.98
"chr2-228559086-228789800",24772.12
"chr2-228789800-229007033",23574.65
"chr2-229007033-229218158",22284.19
"chr2-229218158-229433824",22705.48
"chr2-229433824-229647482",22616.11
"chr2-229647482-229865033",23005.64
"chr2-229865033-230105857",24679.08
"chr2-230105857-230342740",24769.98
"chr2-230342740-230570407",24201.61
"chr2-230570407-230810233",24932.35
"chr2-230810233-231028201",22922.11
"chr2-231028201-231251090",23133.12
"chr2-231251090-231486686",24431.35
"chr2-231486686-231731244",24735.65
"chr2-231731244-231984165",26108.56
"chr2-231984165-232214470",24293.85
"chr2-232214470-232450981",25703.5
"chr2-232450981-232677297",23721.33
"chr2-232677297-232897600",22756.07
"chr2-232897600-233125307",23871.32
"chr2-233125307-233352509",24275.1
"chr2-233352509-233566485",22641.18
"chr2-233566485-233817689",27012.05
"chr2-233817689-234032369",23059.8
"chr2-234032369-234251381",23009.73
"chr2-234251381-234474871",23522.39
"chr2-234474871-234695793",23219.26
"chr2-234695793-234925636",24407.1
"chr2-234925636-235139903",22711.83
"chr2-235139903-235355245",22805.46
"chr2-235355245-235574608",22894.05
"chr2-235574608-235791870",22769.92
"chr2-235791870-236001683",22391.06
"chr2-236001683-236220496",22828.01
"chr2-236220496-236447889",24271.39
"chr2-236447889-236656392",22367.61
"chr2-236656392-236866845",22428.21
"chr2-236866845-237077181",22862.33
"chr2-237077181-237289341",23170.79
"chr2-237289341-237499501",23957.34
"chr2-237718995-237943937",23625.39
"chr2-237943937-238164291",22904.16
"chr2-238164291-238387041",23337.51
"chr2-238387041-238602395",22980.98
"chr2-238602395-238817974",23016.57
"chr2-238817974-239030854",22532.02
"chr2-239030854-239240030",22288.95
"chr2-239240030-239448641",22132.82
"chr2-239448641-239660775",22757.61
"chr2-239660775-239873178",22496.09
"chr2-239873178-240086967",22963.88
"chr2-240086967-240298397",22788.43
"chr2-240298397-240510165",22717.12
"chr2-240510165-240748451",25716.4
"chr2-240748451-240961515",23218.53
"chr2-240961515-241183585",23348.79
"chr2-241183585-241406286",22944.34
"chr2-241406286-241635930",24050.49
"chr2-241635930-241872428",19703.36
"chr3-233206-447069",23088.13
"chr3-447069-688151",26173.6
"chr3-918159-1131841",23252.41
"chr3-1131841-1344336",22766.13
"chr3-1344336-1562005",23853.77
"chr3-1562005-1788034",23557.88
"chr3-1788034-2012202",23916.67
"chr3-2012202-2223198",22688.47
"chr3-2223198-2442068",23801.28
"chr3-2442068-2658777",23520.84
"chr3-2658777-2876891",23045.47
"chr3-2876891-3089629",23292.58
"chr3-3089629-3303812",22943.9
"chr3-3303812-3518204",22822.53
"chr3-3735959-3970889",25163.04
"chr3-3970889-4203723",25525.08
"chr3-4203723-4438955",24793.13
"chr3-4438955-4653700",22945.84
"chr3-4653700-4860671",22200.11
"chr3-4860671-5092235",23729.5
"chr3-5092235-5319174",23952.58
"chr3-5319174-5547780",24130.89
"chr3-5547780-5767190",23775.91
"chr3-5767190-5989923",23721.81
"chr3-5989923-6206431",23168.46
"chr3-6206431-6437599",24995.27
"chr3-6437599-6664082",24243.36
"chr3-6664082-6880927",22976.17
"chr3-6880927-7099459",23513.9
"chr3-7099459-7307625",22530.48
"chr3-7307625-7515470",22375.6
"chr3-7515470-7727292",22722.43
"chr3-7727292-7949359",24098.72
"chr3-7949359-8167289",23331.4
"chr3-8167289-8384499",23400.81
"chr3-8384499-8595972",22977.03
"chr3-8595972-8826683",23819.56
"chr3-8826683-9038735",22895.25
"chr3-9038735-9249162",22872.23
"chr3-9249162-9473508",23254.03
"chr3-9473508-9714074",24414.29
"chr3-9714074-9951035",24573.27
"chr3-10214428-10430061",22314.59
"chr3-10430061-10638761",22723.77
"chr3-10638761-10849661",22403.52
"chr3-10849661-11056580",22768.29
"chr3-11056580-11283029",23042.97
"chr3-11283029-11514106",23940.35
"chr3-11514106-11734283",22943.36
"chr3-11734283-11979223",16813.76
"chr3-11979223-12195373",22852.21
"chr3-12195373-12412281",22684.72
"chr3-12412281-12634968",23399.17
"chr3-12634968-12881912",24812.79
"chr3-12881912-13087033",22197.99
"chr3-13087033-13301378",22738.65
"chr3-13301378-13526300",23462.7
"chr3-13526300-13739954",23110.72
"chr3-13739954-13954677",22976.71
"chr3-13954677-14200527",26309.96
"chr3-14200527-14413200",22900.63
"chr3-14413200-14619249",22237.95
"chr3-14619249-14836207",23254.45
"chr3-14836207-15053569",22783.14
"chr3-15053569-15297320",26052.98
"chr3-15297320-15528441",24078.35
"chr3-15528441-15755822",23985.04
"chr3-15755822-15977518",23438.28
"chr3-15977518-16199447",23865.14
"chr3-16199447-16410289",22667.22
"chr3-16410289-16622143",22362.89
"chr3-16622143-16852180",24635.68
"chr3-16852180-17068121",23524.2
"chr3-17068121-17281761",23028.41
"chr3-17281761-17497779",23401.68
"chr3-17497779-17727711",24767.73
"chr3-17727711-17950092",23652.6
"chr3-17950092-18163981",23250.96
"chr3-18163981-18376200",22838.71
"chr3-18376200-18585397",22717.69
"chr3-18585397-18797215",22857.05
"chr3-18797215-19028339",25006.84
"chr3-19028339-19247828",23621.92
"chr3-19247828-19469121",23689.33
"chr3-19469121-19708060",25613.08
"chr3-19708060-19945104",25252.28
"chr3-19945104-20169704",23252.97
"chr3-20169704-20405206",20789.73
"chr3-20405206-20625722",23820.5
"chr3-20625722-20843634",23276.98
"chr3-20843634-21064648",23310.94
"chr3-21064648-21294277",24293
"chr3-21294277-21514785",23552.23
"chr3-21514785-21730594",23192.38
"chr3-21730594-21942265",23130.37
"chr3-21942265-22171377",24394.58
"chr3-22171377-22385383",23062.49
"chr3-22385383-22606473",23827.93
"chr3-22606473-22844094",26151.01
"chr3-22844094-23070991",24615.45
"chr3-23070991-23293122",24031.07
"chr3-23293122-23514576",23830.25
"chr3-23514576-23737945",23823.24
"chr3-23737945-23963029",23152.81
"chr3-23963029-24194383",24887.07
"chr3-24194383-24410766",23642.88
"chr3-24410766-24621006",22685.79
"chr3-24832108-25041450",22571.5
"chr3-25041450-25255828",22965.12
"chr3-25473467-25681084",22326.83
"chr3-25681084-25900602",23489.87
"chr3-25900602-26121734",23858.18
"chr3-26121734-26355065",25265.7
"chr3-26355065-26591931",25388.54
"chr3-26591931-26815327",24287.25
"chr3-26815327-27051798",25470.22
"chr3-27051798-27274526",24129.58
"chr3-27274526-27492582",23200.98
"chr3-27492582-27727795",24007.24
"chr3-27727795-27951786",23660.56
"chr3-27951786-28170734",23297.18
"chr3-28170734-28391719",23571.38
"chr3-28391719-28618535",24149.25
"chr3-28618535-28833656",22958.39
"chr3-28833656-29047615",24041.56
"chr3-29047615-29267666",23668.79
"chr3-29267666-29479673",23464.29
"chr3-29479673-29694044",23230.89
"chr3-29906504-30133973",24215.45
"chr3-30133973-30349554",23207.39
"chr3-30349554-30570447",23596.11
"chr3-30570447-30777258",21772.82
"chr3-30777258-30986728",22537.58
"chr3-30986728-31197012",22920.87
"chr3-31197012-31405284",22562.65
"chr3-31405284-31615421",22168.85
"chr3-31615421-31830925",22925.77
"chr3-31830925-32060517",23953.5
"chr3-32060517-32292010",23884.67
"chr3-32292010-32515945",24152.93
"chr3-32515945-32756469",24448.95
"chr3-32756469-32998400",24186.08
"chr3-32998400-33222171",23388.26
"chr3-33222171-33460525",24206.97
"chr3-33689289-33915649",23803.53
"chr3-33915649-34150633",25012.01
"chr3-34150633-34362947",22542.45
"chr3-34362947-34590345",24533.17
"chr3-34590345-34812468",23631.71
"chr3-34812468-35029975",23638.4
"chr3-35029975-35255584",24356.6
"chr3-35255584-35468222",23192.11
"chr3-35468222-35686181",23454.06
"chr3-35686181-35899559",22975.6
"chr3-35899559-36126660",24524.97
"chr3-36126660-36346624",23770.3
"chr3-36346624-36566136",23691.82
"chr3-36566136-36785306",23251.66
"chr3-36785306-37008584",23330.86
"chr3-37008584-37237378",24161.75
"chr3-37237378-37464027",23679.31
"chr3-37464027-37682758",23417.04
"chr3-37682758-37899109",23384.35
"chr3-37899109-38122054",24361.47
"chr3-38122054-38340432",23271.77
"chr3-38340432-38572018",25160.91
"chr3-38572018-38781559",22623.82
"chr3-38781559-39005646",24379.59
"chr3-39005646-39219777",22762.07
"chr3-39219777-39456619",25061.12
"chr3-39456619-39688770",24790.42
"chr3-39688770-39917903",24532.6
"chr3-39917903-40153676",25666.12
"chr3-40381042-40609826",23899.87
"chr3-40609826-40825020",23250.12
"chr3-40825020-41047885",24200.97
"chr3-41047885-41254441",22402.69
"chr3-41254441-41485980",24334.44
"chr3-41717035-41969638",26203.91
"chr3-41969638-42198635",23726.96
"chr3-42198635-42420956",23659.96
"chr3-42420956-42637042",22973.97
"chr3-42637042-42862799",23664.25
"chr3-42862799-43085467",24132.53
"chr3-43294838-43516903",23296.48
"chr3-43516903-43755308",25425.84
"chr3-43755308-43979534",24250.84
"chr3-43979534-44189043",22315.89
"chr3-44189043-44410261",23255.63
"chr3-44410261-44641837",24136.43
"chr3-44641837-44878768",24950.29
"chr3-44878768-45096011",23242.64
"chr3-45096011-45315285",22883.87
"chr3-45315285-45536781",23387.8
"chr3-45536781-45756348",23279.02
"chr3-45756348-45966631",22381.85
"chr3-45966631-46192343",24199.63
"chr3-46192343-46416695",24095.84
"chr3-46416695-46640403",23696.18
"chr3-46640403-46872000",24584.5
"chr3-46872000-47091903",22860.47
"chr3-47091903-47332724",24516.8
"chr3-47332724-47573701",24298.04
"chr3-47573701-47812546",23797.01
"chr3-47812546-48053307",24619.9
"chr3-48053307-48308783",26392.96
"chr3-48308783-48540258",23724.58
"chr3-48540258-48768967",23790.58
"chr3-48768967-49026748",25178.32
"chr3-49026748-49284700",25443.18
"chr3-49284700-49545187",25420.83
"chr3-49545187-49776107",23962.79
"chr3-49776107-50018006",24444.54
"chr3-50018006-50249617",23962.04
"chr3-50249617-50466563",23169.67
"chr3-50466563-50676166",23179.4
"chr3-50676166-50930034",25715.8
"chr3-50930034-51171271",25594.23
"chr3-51171271-51417610",26099.26
"chr3-51417610-51676363",25752.35
"chr3-51676363-51908873",24824.55
"chr3-51908873-52125064",22582.13
"chr3-52125064-52347984",23447.41
"chr3-52347984-52559911",23054.51
"chr3-52559911-52794227",24081.63
"chr3-52794227-53013017",22990.61
"chr3-53013017-53235533",23272.53
"chr3-53235533-53485810",25798.81
"chr3-53485810-53694517",22369.75
"chr3-53694517-53902103",22294.26
"chr3-53902103-54124829",23687.88
"chr3-54124829-54340315",23242.76
"chr3-54340315-54565234",24091.04
"chr3-54565234-54782213",23484.62
"chr3-54782213-54996109",23225.74
"chr3-54996109-55223617",24388.49
"chr3-55223617-55439967",23200.43
"chr3-55439967-55647758",21946.18
"chr3-55647758-55861050",23361.86
"chr3-55861050-56070530",22413.92
"chr3-56070530-56285177",22957.12
"chr3-56285177-56495963",22599.47
"chr3-56495963-56742305",25146.81
"chr3-56742305-56965469",23970.06
"chr3-56965469-57189547",25644.14
"chr3-57189547-57424970",24430.36
"chr3-57424970-57675153",25313.72
"chr3-57675153-57910552",23786.84
"chr3-57910552-58141505",23603.35
"chr3-58141505-58374299",24349.97
"chr3-58374299-58603176",23739.52
"chr3-58603176-58834734",25413.89
"chr3-58834734-59074730",26051.17
"chr3-59074730-59296097",23516.48
"chr3-59296097-59518937",24259.98
"chr3-59518937-59733609",23235.78
"chr3-59733609-59940800",22539.71
"chr3-59940800-60148319",22485.77
"chr3-60148319-60355884",22533.92
"chr3-60355884-60574103",23243.99
"chr3-60574103-60788543",23086.85
"chr3-60788543-61009006",24107.99
"chr3-61009006-61241774",25368.25
"chr3-61241774-61468507",24288.94
"chr3-61468507-61688145",22974.86
"chr3-61688145-61902823",22835.02
"chr3-61902823-62114346",22615.71
"chr3-62114346-62322953",22328.39
"chr3-62322953-62531478",21785.67
"chr3-62531478-62740120",22983.69
"chr3-62740120-62955249",23253.67
"chr3-62955249-63175536",23895.07
"chr3-63175536-63401785",24055.74
"chr3-63401785-63611677",22793.03
"chr3-63611677-63843998",24827.01
"chr3-63843998-64054497",22261.52
"chr3-64054497-64262323",22641.62
"chr3-64262323-64470925",22677.02
"chr3-64470925-64684122",23203.44
"chr3-64684122-64896678",23203.41
"chr3-64896678-65113534",23120.41
"chr3-65113534-65333981",22432.85
"chr3-65333981-65551769",23478.15
"chr3-65551769-65764006",22483.7
"chr3-65764006-65982663",23157.64
"chr3-65982663-66204478",23176.43
"chr3-66204478-66423949",23274.66
"chr3-66423949-66638361",22687.74
"chr3-66638361-66863214",23979.37
"chr3-66863214-67086709",23502.99
"chr3-67086709-67313713",24996.19
"chr3-67313713-67535277",23672.85
"chr3-67535277-67747353",22809.64
"chr3-67747353-67972333",24285.12
"chr3-67972333-68185612",23396.49
"chr3-68185612-68400747",23052.98
"chr3-68400747-68618167",23133.76
"chr3-68849474-69062774",22630.6
"chr3-69062774-69288580",23253.63
"chr3-69288580-69515435",23899.68
"chr3-69515435-69734401",23229.73
"chr3-69734401-69943483",22356.99
"chr3-69943483-70159358",23258.31
"chr3-70159358-70371789",22814.77
"chr3-70371789-70591867",23888.95
"chr3-70591867-70813970",23663.6
"chr3-70813970-71029191",23138.2
"chr3-71029191-71240280",22043.4
"chr3-71240280-71456063",22539.63
"chr3-71456063-71671823",23088.6
"chr3-71671823-71883118",22065.09
"chr3-71883118-72103000",23346.47
"chr3-72103000-72309959",22674.74
"chr3-72309959-72519783",22623.12
"chr3-72519783-72745977",24105.83
"chr3-72745977-72972475",23324.6
"chr3-73204619-73430305",24174.13
"chr3-73430305-73637792",22595.02
"chr3-73637792-73852049",22956.6
"chr3-73852049-74066224",23305.46
"chr3-74066224-74284297",23276.92
"chr3-74284297-74500259",23244.74
"chr3-74500259-74718184",23555.62
"chr3-74718184-74941606",24314.85
"chr3-74941606-75172061",24380.5
"chr3-75870589-76111676",26403.43
"chr3-76111676-76326501",23002.09
"chr3-76326501-76544188",23302.24
"chr3-76544188-76756149",22870.4
"chr3-76756149-76965397",22630.34
"chr3-76965397-77175965",22493.27
"chr3-77175965-77395069",23456.97
"chr3-77395069-77600296",22592.89
"chr3-77600296-77819229",24327.83
"chr3-77819229-78036911",23579.94
"chr3-78036911-78246717",22714.65
"chr3-78246717-78458363",22785.58
"chr3-78458363-78686011",24269.71
"chr3-78686011-78901219",23343.97
"chr3-78901219-79120380",23800.09
"chr3-79120380-79338780",23981.06
"chr3-79338780-79548731",23106.73
"chr3-79548731-79761730",23384.76
"chr3-79761730-79976862",23618.07
"chr3-79976862-80187974",23001.29
"chr3-80187974-80403035",23311.33
"chr3-80403035-80620128",24018.41
"chr3-80620128-80839849",24021.19
"chr3-80839849-81071166",25305.23
"chr3-81071166-81279565",22545.36
"chr3-81279565-81490454",22857.81
"chr3-81490454-81703993",23254.29
"chr3-81703993-81926059",23875.44
"chr3-81926059-82139710",23251.79
"chr3-82139710-82363776",24122.53
"chr3-82363776-82580797",23562.23
"chr3-82797996-83016314",24147.07
"chr3-83016314-83226773",23225.11
"chr3-83226773-83443964",23530.32
"chr3-83443964-83660304",23163.86
"chr3-83660304-83872661",23135.29
"chr3-83872661-84089769",23889.46
